date_and_time,Total,Store Value Card,Token,Trip Card,Tourist Card,Group Ticket,NCMC Card,Paper QR,Mobile QR,Static QR,WhatsApp QR,Paytm QR,PhonePe QR,ONDC-RedBus QR,ONDC-Rapido QR,ONDC-Namma Yatri QR,Singara Chennai Card,SVP QR,Event QR,Integrated QR (CUMTA),Promotional Ride QR,RedBus QR (ONDC),Rapido QR (ONDC),Namma Yatri QR (ONDC),Uber QR (ONDC),Miles & Kilometer QR (ONDC),Miles & Km QR (ONDC)
2025-01-20 04:00:00+00:00,1467.0,197.0,0.0,0.0,1.0,0.0,228.0,417.0,42.0,90.0,159.0,126.0,171.0,30.0,4.0,1.0,,,,,,,,,,,
2025-01-20 05:00:00+00:00,4748.0,737.0,0.0,0.0,2.0,0.0,832.0,1522.0,136.0,194.0,416.0,466.0,349.0,60.0,26.0,1.0,,,,,,,,,,,
2025-01-20 06:00:00+00:00,7416.0,1525.0,0.0,0.0,1.0,0.0,2038.0,1666.0,170.0,263.0,606.0,529.0,449.0,103.0,37.0,14.0,,,,,,,,,,,
2025-01-20 07:00:00+00:00,15490.0,4270.0,0.0,0.0,5.0,0.0,5647.0,2291.0,257.0,436.0,1021.0,706.0,605.0,145.0,74.0,6.0,,,,,,,,,,,
2025-01-20 08:00:00+00:00,31725.0,10216.0,0.0,0.0,10.0,0.0,11943.0,3640.0,415.0,781.0,1956.0,1307.0,984.0,234.0,148.0,11.0,,,,,,,,,,,
2025-01-20 09:00:00+00:00,42166.0,15051.0,0.0,0.0,13.0,0.0,15028.0,4178.0,513.0,994.0,2620.0,1793.0,1350.0,307.0,169.0,13.0,,,,,,,,,,,
2025-01-20 10:00:00+00:00,23393.0,7684.0,0.0,0.0,23.0,0.0,6910.0,4087.0,344.0,661.0,1438.0,992.0,897.0,164.0,115.0,7.0,,,,,,,,,,,
2025-01-20 11:00:00+00:00,13842.0,3545.0,0.0,0.0,20.0,0.0,3506.0,3754.0,191.0,510.0,936.0,615.0,573.0,84.0,79.0,8.0,,,,,,,,,,,
2025-01-20 12:00:00+00:00,13527.0,3244.0,0.0,0.0,19.0,23.0,3603.0,3874.0,178.0,417.0,865.0,625.0,470.0,96.0,85.0,12.0,,,,,,,,,,,
2025-01-20 13:00:00+00:00,15668.0,3505.0,0.0,0.0,14.0,0.0,4659.0,4048.0,216.0,473.0,1015.0,859.0,652.0,104.0,102.0,9.0,,,,,,,,,,,
2025-01-20 14:00:00+00:00,14014.0,3151.0,0.0,0.0,21.0,0.0,3845.0,3884.0,230.0,527.0,1007.0,598.0,544.0,89.0,88.0,11.0,,,,,,,,,,,
2025-01-20 15:00:00+00:00,12380.0,2991.0,0.0,0.0,12.0,60.0,3300.0,3582.0,188.0,380.0,699.0,545.0,435.0,88.0,84.0,5.0,,,,,,,,,,,
