Date,Line,Station,Total,Store Value Card,Token,Trip Card,Tourist Card,Group Ticket,NCMC Card,Paper QR,Mobile QR,Static QR,WhatsApp QR,Paytm QR,PhonePe QR,ONDC-RedBus QR,ONDC-Rapido QR,ONDC-Namma Yatri QR
2025-01-20,1,WIMCO NAGAR DEPOT,5328,2236,0,0,2,0,1615,924,33,65,187,153,86,10,11,1
2025-01-20,1,WIMCO NAGAR METRO,5342,1865,0,0,7,0,1750,807,91,115,334,174,148,23,11,3
2025-01-20,1,THIRUVOTRIYUR THERADI METRO,5162,1456,0,0,6,0,1895,1034,65,135,237,162,124,22,18,0
2025-01-20,1,THIRUVOTRIYUR METRO,4473,1286,0,0,5,0,1887,751,54,86,172,97,117,9,5,0
2025-01-20,1,KALADIPET METRO,5102,1510,0,0,0,0,2165,782,59,94,207,119,132,14,13,2
2025-01-20,1,TOLLGATE METRO,2458,993,0,0,3,0,813,406,17,36,75,35,69,7,3,0
2025-01-20,1,NEW WASHERMENPET METRO,4469,1156,0,0,3,0,1905,852,50,80,185,119,85,13,16,1
2025-01-20,1,TONDIARPET METRO,6135,2171,0,0,5,0,1935,1298,40,86,225,201,121,22,19,3
2025-01-20,1,THIYAGARAYA COLLEGE METRO,6524,2401,0,0,0,0,2036,1355,58,86,274,158,89,29,24,6
2025-01-20,1,WASHERMANPET,7786,2453,0,0,0,0,2737,1488,85,151,404,219,153,40,41,1
2025-01-20,1,MANNADI,5854,1999,0,0,8,0,2070,1059,41,84,230,183,127,27,20,1
2025-01-20,1,HIGH COURT,11430,4575,0,0,8,0,3142,2319,92,238,468,253,242,42,33,1
2025-01-20,1,CENTRAL  METRO,18585,4462,67,0,14,0,4898,4087,375,695,1541,1176,972,138,101,7
2025-01-20,1,GOVERNMENT ESTATE,8725,2714,0,0,3,0,2764,1649,115,164,469,412,294,51,50,6
2025-01-20,1,LIC,9321,3579,0,0,8,0,3169,990,125,199,532,356,227,53,51,4
2025-01-20,1,THOUSAND LIGHT,14960,5136,0,0,7,0,5816,1239,181,332,946,568,476,124,83,8
2025-01-20,1,AG-DMS,8563,3218,0,0,2,0,3030,1030,88,215,446,262,190,32,25,2
2025-01-20,1,TEYNAMPET,9296,2757,0,0,11,0,3679,1099,100,230,558,363,313,72,64,6
2025-01-20,1,NANDANAM,7221,2155,0,0,3,0,2899,823,94,150,419,314,245,67,33,2
2025-01-20,1,SAIDAPET,4702,1437,0,0,3,0,1554,773,52,123,299,202,164,49,34,0
2025-01-20,1,LITTLE MOUNT,7412,2209,0,0,2,0,2685,946,144,227,547,272,251,60,38,9
2025-01-20,1,GUINDY,17286,4800,0,0,7,0,5251,2914,301,573,1483,917,718,167,85,7
2025-01-20,1,ALANDUR,5677,2326,0,0,0,0,1704,742,66,127,326,174,126,43,24,2
2025-01-20,1,OTA - NANGANALLUR ROAD,2769,1226,0,0,6,0,923,348,25,46,104,35,44,6,3,0
2025-01-20,1,MEENAMBAKKAM,6772,2015,0,0,7,0,2474,1180,77,191,381,213,147,29,33,2
2025-01-20,1,CHENNAI AIRPORT,16726,4137,0,0,35,23,3330,4279,387,938,1452,1019,831,131,95,19
2025-01-21,1,WIMCO NAGAR DEPOT,5221,2248,0,0,1,0,1718,716,34,75,185,157,62,10,8,1
2025-01-21,1,WIMCO NAGAR METRO,5201,1870,0,0,4,0,1712,786,77,99,324,159,132,15,6,0
2025-01-21,1,THIRUVOTRIYUR THERADI METRO,5192,1377,0,0,6,0,2226,894,61,131,203,137,116,21,12,2
2025-01-21,1,THIRUVOTRIYUR METRO,4284,1202,0,0,4,0,2024,526,45,89,169,98,111,4,10,0
2025-01-21,1,KALADIPET METRO,4844,1437,0,0,3,0,2317,540,31,75,191,105,108,15,16,2
2025-01-21,1,TOLLGATE METRO,2457,982,0,0,2,0,905,324,21,33,64,56,57,5,6,0
2025-01-21,1,NEW WASHERMENPET METRO,4344,1070,0,0,3,0,2061,743,26,83,143,92,92,15,12,0
2025-01-21,1,TONDIARPET METRO,6045,2179,0,0,4,0,2108,1015,53,96,247,177,116,21,17,2
2025-01-21,1,THIYAGARAYA COLLEGE METRO,6467,2398,0,0,2,0,2153,1145,57,101,253,193,109,23,22,3
2025-01-21,1,WASHERMANPET,7607,2351,0,0,3,0,2927,1253,73,143,379,237,145,32,50,2
2025-01-21,1,MANNADI,5951,1994,0,0,7,0,2222,988,38,84,222,181,152,29,26,4
2025-01-21,1,HIGH COURT,12309,4925,0,0,14,0,3518,2416,101,231,502,270,254,21,41,0
2025-01-21,1,CENTRAL  METRO,17264,4206,38,0,0,0,5016,3524,313,646,1311,1209,773,100,69,14
2025-01-21,1,GOVERNMENT ESTATE,9357,2763,0,0,26,0,3109,1694,118,181,571,457,302,63,43,1
2025-01-21,1,LIC,9933,3618,0,0,6,0,3717,1012,125,201,535,359,228,53,45,3
2025-01-21,1,THOUSAND LIGHT,15066,5167,0,0,19,0,5835,1263,206,323,943,568,500,136,56,7
2025-01-21,1,AG-DMS,8407,3218,0,0,5,0,2838,987,93,189,478,287,199,41,40,6
2025-01-21,1,TEYNAMPET,8757,2796,0,0,11,0,3170,1005,102,232,629,329,308,58,84,4
2025-01-21,1,NANDANAM,7493,2150,0,0,4,0,3157,778,86,162,472,329,230,62,37,1
2025-01-21,1,SAIDAPET,4827,1482,0,0,4,0,1699,722,64,106,305,175,177,53,32,0
2025-01-21,1,LITTLE MOUNT,7551,2226,0,0,5,0,2882,825,150,214,538,296,288,60,40,4
2025-01-21,1,GUINDY,15975,4872,0,0,7,0,4642,2415,314,529,1324,899,668,151,88,9
2025-01-21,1,ALANDUR,5810,2416,0,0,7,0,1811,717,47,124,303,173,120,36,40,1
2025-01-21,1,OTA - NANGANALLUR ROAD,2548,1239,0,0,6,0,737,291,29,36,110,43,40,5,6,0
2025-01-21,1,MEENAMBAKKAM,6696,1996,0,0,3,0,2635,1033,59,174,345,225,150,24,29,1
2025-01-21,1,CHENNAI AIRPORT,16001,4002,0,0,50,0,3468,4185,326,741,1299,889,804,100,81,13
