Date,Line,Station,Total,Store Value Card,Token,Trip Card,Tourist Card,Group Ticket,NCMC Card,Paper QR,Mobile QR,Static QR,WhatsApp QR,Paytm QR,PhonePe QR,ONDC-RedBus QR,ONDC-Rapido QR,ONDC-Namma Yatri QR,Singara Chennai Card,SVP QR,Event QR,Integrated QR (CUMTA),Promotional Ride QR,RedBus QR (ONDC),Rapido QR (ONDC),Namma Yatri QR (ONDC),Uber QR (ONDC),Miles & Kilometer QR (ONDC),Miles & Km QR (ONDC)
2025-01-20,2,CENTRAL  METRO,13400,2275,71.0,0.0,0.0,60.0,2564.0,3923,301,720,1016,1265,977,120.0,75.0,9.0,,,,,,,,,,,
2025-01-20,2,EGMORE,8743,1220,0.0,0.0,11.0,0.0,1801.0,2937,171,312,782,675,676,101.0,43.0,4.0,,,,,,,,,,,
2025-01-20,2,NEHRU PARK,2776,816,0.0,0.0,6.0,0.0,977.0,471,45,75,151,116,80,17.0,16.0,1.0,,,,,,,,,,,
2025-01-20,2,KILPAUK,2872,666,0.0,0.0,5.0,0.0,974.0,667,37,61,194,120,102,14.0,25.0,1.0,,,,,,,,,,,
2025-01-20,2,PACHAIAPPA S COLLEGE,3071,914,0.0,0.0,2.0,0.0,1148.0,555,31,48,137,113,81,21.0,9.0,1.0,,,,,,,,,,,
2025-01-20,2,SHENOY NAGAR,2832,653,0.0,0.0,3.0,0.0,1200.0,503,24,54,169,88,80,18.0,25.0,6.0,,,,,,,,,,,
2025-01-20,2,ANNA NAGAR EAST,6028,1812,0.0,0.0,1.0,0.0,2151.0,925,80,149,371,269,187,28.0,40.0,1.0,,,,,,,,,,,
2025-01-20,2,ANNA NAGAR TOWER,5766,1834,0.0,0.0,13.0,0.0,2072.0,954,54,87,297,208,171,32.0,36.0,2.0,,,,,,,,,,,
2025-01-20,2,THIRUMANGALAM,16058,5290,0.0,0.0,6.0,0.0,5231.0,2435,262,399,1032,635,515,108.0,88.0,13.0,,,,,,,,,,,
2025-01-20,2,KOYAMBEDU,15979,4153,0.0,0.0,6.0,0.0,3948.0,3691,256,615,1191,951,830,211.0,100.0,10.0,,,,,,,,,,,
2025-01-20,2,CMBT,8278,1042,0.0,0.0,5.0,0.0,1892.0,2772,141,247,743,712,542,89.0,78.0,6.0,,,,,,,,,,,
2025-01-20,2,ARUMBAKKAM,4074,1015,0.0,0.0,8.0,0.0,1349.0,777,65,102,280,204,189,47.0,26.0,4.0,,,,,,,,,,,
2025-01-20,2,VADAPALANI,10719,2413,0.0,0.0,19.0,0.0,3257.0,2318,183,347,817,617,492,127.0,107.0,3.0,,,,,,,,,,,
2025-01-20,2,ASHOK NAGAR,8277,2327,0.0,0.0,7.0,0.0,2688.0,1576,124,232,508,338,317,71.0,63.0,7.0,,,,,,,,,,,
2025-01-20,2,EKKATTUTHANGAL,7965,2473,0.0,0.0,3.0,0.0,2916.0,843,130,203,562,414,267,87.0,36.0,6.0,,,,,,,,,,,
2025-01-20,2,ALANDUR,5378,1722,0.0,0.0,0.0,0.0,1524.0,950,95,203,412,220,144,58.0,33.0,4.0,,,,,,,,,,,
2025-01-20,2,St. THOMAS MOUNT,6992,2040,0.0,0.0,4.0,0.0,2270.0,1080,137,174,521,376,246,71.0,52.0,0.0,,,,,,,,,,,
2025-01-21,2,CENTRAL  METRO,11575,2145,40.0,0.0,22.0,214.0,2517.0,3410,223,462,877,909,572,106.0,54.0,7.0,,,,,,,,,,,
2025-01-21,2,EGMORE,7408,1063,0.0,0.0,6.0,47.0,1624.0,2597,147,201,620,484,501,65.0,39.0,7.0,,,,,,,,,,,
2025-01-21,2,NEHRU PARK,2856,837,0.0,0.0,4.0,0.0,1006.0,503,36,62,153,139,88,7.0,13.0,1.0,,,,,,,,,,,
2025-01-21,2,KILPAUK,2813,669,0.0,0.0,3.0,0.0,1048.0,607,38,44,161,114,94,17.0,11.0,1.0,,,,,,,,,,,
2025-01-21,2,PACHAIAPPA S COLLEGE,3211,920,0.0,0.0,3.0,29.0,1287.0,486,20,55,147,133,84,16.0,15.0,3.0,,,,,,,,,,,
2025-01-21,2,SHENOY NAGAR,3078,680,0.0,0.0,4.0,0.0,1382.0,531,26,72,144,95,99,19.0,14.0,3.0,,,,,,,,,,,
2025-01-21,2,ANNA NAGAR EAST,6380,1879,0.0,0.0,4.0,0.0,2355.0,963,75,148,375,302,181,42.0,45.0,1.0,,,,,,,,,,,
2025-01-21,2,ANNA NAGAR TOWER,6008,1863,0.0,0.0,15.0,0.0,2205.0,951,60,103,318,240,162,41.0,37.0,3.0,,,,,,,,,,,
2025-01-21,2,THIRUMANGALAM,16561,5473,0.0,0.0,10.0,0.0,5591.0,2311,259,390,1036,703,554,100.0,91.0,7.0,,,,,,,,,,,
2025-01-21,2,KOYAMBEDU,14465,3953,0.0,0.0,16.0,0.0,3743.0,3454,203,487,882,820,616,154.0,108.0,11.0,,,,,,,,,,,
2025-01-21,2,CMBT,6807,951,0.0,0.0,10.0,0.0,1803.0,2311,95,192,473,483,379,60.0,43.0,3.0,,,,,,,,,,,
2025-01-21,2,ARUMBAKKAM,4188,979,0.0,0.0,17.0,62.0,1469.0,768,34,98,306,219,163,40.0,22.0,2.0,,,,,,,,,,,
2025-01-21,2,VADAPALANI,12331,2641,0.0,0.0,15.0,0.0,3792.0,2596,202,490,994,779,498,180.0,122.0,4.0,,,,,,,,,,,
2025-01-21,2,ASHOK NAGAR,7937,2285,0.0,0.0,4.0,0.0,2553.0,1412,112,227,521,348,329,71.0,52.0,5.0,,,,,,,,,,,
2025-01-21,2,EKKATTUTHANGAL,8610,2630,0.0,0.0,3.0,0.0,3185.0,843,159,228,598,489,300,101.0,39.0,5.0,,,,,,,,,,,
2025-01-21,2,ALANDUR,5434,1739,0.0,0.0,0.0,0.0,1605.0,885,108,203,405,236,144,39.0,52.0,0.0,,,,,,,,,,,
2025-01-21,2,St. THOMAS MOUNT,6762,2085,0.0,0.0,4.0,0.0,2307.0,934,104,175,468,339,218,65.0,42.0,3.0,,,,,,,,,,,
2025-01-22,2,CENTRAL  METRO,10871,2066,8.0,0.0,25.0,49.0,2448.0,3583,184,430,691,707,485,95.0,66.0,15.0,,,,,,,,,,,
2025-01-22,2,EGMORE,7240,1039,0.0,0.0,26.0,0.0,1724.0,2731,116,196,500,407,376,75.0,32.0,8.0,,,,,,,,,,,
2025-01-22,2,NEHRU PARK,2930,816,0.0,0.0,3.0,0.0,1095.0,518,25,69,148,119,96,16.0,16.0,1.0,,,,,,,,,,,
2025-01-22,2,KILPAUK,2829,611,0.0,0.0,3.0,0.0,1085.0,603,43,60,160,107,116,11.0,23.0,0.0,,,,,,,,,,,
2025-01-22,2,PACHAIAPPA S COLLEGE,3179,891,0.0,0.0,4.0,30.0,1307.0,446,28,48,163,136,86,19.0,8.0,2.0,,,,,,,,,,,
2025-01-22,2,SHENOY NAGAR,3120,645,0.0,0.0,1.0,0.0,1392.0,544,27,64,164,114,110,29.0,16.0,1.0,,,,,,,,,,,
2025-01-22,2,ANNA NAGAR EAST,6490,1844,0.0,0.0,3.0,0.0,2452.0,1030,65,135,389,267,223,32.0,32.0,2.0,,,,,,,,,,,
2025-01-22,2,ANNA NAGAR TOWER,6069,1864,0.0,0.0,12.0,0.0,2274.0,910,59,114,323,267,163,32.0,36.0,3.0,,,,,,,,,,,
2025-01-22,2,THIRUMANGALAM,16785,5530,0.0,0.0,13.0,0.0,5431.0,2523,251,369,1129,747,529,130.0,96.0,3.0,,,,,,,,,,,
2025-01-22,2,KOYAMBEDU,14139,3935,0.0,0.0,8.0,0.0,3836.0,3295,160,493,862,667,616,151.0,89.0,11.0,,,,,,,,,,,
2025-01-22,2,CMBT,6426,909,0.0,0.0,6.0,0.0,1879.0,2086,85,153,449,445,312,44.0,48.0,4.0,,,,,,,,,,,
2025-01-22,2,ARUMBAKKAM,4270,1026,0.0,0.0,5.0,0.0,1570.0,716,27,101,311,223,186,66.0,26.0,5.0,,,,,,,,,,,
2025-01-22,2,VADAPALANI,11301,2486,0.0,0.0,21.0,20.0,3652.0,2237,195,374,896,628,498,155.0,116.0,4.0,,,,,,,,,,,
2025-01-22,2,ASHOK NAGAR,8693,2341,0.0,0.0,4.0,0.0,2973.0,1517,134,271,578,402,297,72.0,75.0,8.0,,,,,,,,,,,
2025-01-22,2,EKKATTUTHANGAL,8953,2585,0.0,0.0,4.0,0.0,3327.0,967,131,247,695,477,324,114.0,50.0,5.0,,,,,,,,,,,
2025-01-22,2,ALANDUR,5518,1729,0.0,0.0,0.0,0.0,1599.0,990,95,207,433,221,153,41.0,33.0,0.0,,,,,,,,,,,
2025-01-22,2,St. THOMAS MOUNT,6725,2038,0.0,0.0,6.0,0.0,2314.0,940,123,177,469,316,195,64.0,52.0,9.0,,,,,,,,,,,
2025-01-23,2,CENTRAL  METRO,10888,2008,0.0,0.0,0.0,45.0,2552.0,3570,165,496,690,755,442,71.0,59.0,18.0,,,,,,,,,,,
2025-01-23,2,EGMORE,6605,979,0.0,0.0,6.0,0.0,1609.0,2428,128,202,471,346,347,54.0,21.0,5.0,,,,,,,,,,,
2025-01-23,2,NEHRU PARK,2634,758,0.0,0.0,3.0,0.0,825.0,542,34,68,149,121,100,11.0,15.0,3.0,,,,,,,,,,,
2025-01-23,2,KILPAUK,2859,630,0.0,0.0,5.0,0.0,1116.0,565,37,69,182,102,112,14.0,17.0,1.0,,,,,,,,,,,
2025-01-23,2,PACHAIAPPA S COLLEGE,3293,902,0.0,0.0,8.0,28.0,1334.0,533,34,48,142,118,94,24.0,17.0,4.0,,,,,,,,,,,
2025-01-23,2,SHENOY NAGAR,3088,600,0.0,0.0,2.0,0.0,1445.0,530,25,72,161,94,100,29.0,20.0,2.0,,,,,,,,,,,
2025-01-23,2,ANNA NAGAR EAST,6468,1790,0.0,0.0,4.0,0.0,2506.0,1011,78,129,392,251,203,46.0,50.0,1.0,,,,,,,,,,,
2025-01-23,2,ANNA NAGAR TOWER,6110,1786,0.0,0.0,12.0,0.0,2339.0,906,68,108,351,270,162,57.0,41.0,1.0,,,,,,,,,,,
2025-01-23,2,THIRUMANGALAM,16831,5322,0.0,0.0,11.0,0.0,5796.0,2514,254,370,1098,696,515,124.0,88.0,2.0,,,,,,,,,,,
2025-01-23,2,KOYAMBEDU,13695,3677,0.0,0.0,11.0,0.0,4082.0,3176,144,398,780,670,553,111.0,78.0,5.0,,,,,,,,,,,
2025-01-23,2,CMBT,6241,825,0.0,0.0,11.0,0.0,1865.0,2044,90,188,428,380,292,48.0,55.0,8.0,,,,,,,,,,,
2025-01-23,2,ARUMBAKKAM,4136,926,0.0,0.0,6.0,0.0,1506.0,717,34,100,308,261,195,53.0,17.0,5.0,,,,,,,,,,,
2025-01-23,2,VADAPALANI,11422,2429,0.0,0.0,16.0,0.0,3674.0,2335,186,386,948,681,494,150.0,97.0,7.0,,,,,,,,,,,
2025-01-23,2,ASHOK NAGAR,8760,2301,0.0,0.0,3.0,0.0,3050.0,1590,101,257,568,391,313,77.0,80.0,5.0,,,,,,,,,,,
2025-01-23,2,EKKATTUTHANGAL,8858,2440,0.0,0.0,3.0,0.0,3321.0,998,144,234,720,492,350,81.0,48.0,1.0,,,,,,,,,,,
2025-01-23,2,ALANDUR,5721,1742,0.0,0.0,11.0,0.0,1715.0,947,100,185,474,261,180,58.0,31.0,1.0,,,,,,,,,,,
2025-01-23,2,St. THOMAS MOUNT,6746,2003,0.0,0.0,4.0,0.0,2356.0,957,112,178,460,318,211,73.0,50.0,1.0,,,,,,,,,,,
2025-01-24,2,CENTRAL  METRO,11594,2096,0.0,0.0,44.0,50.0,2632.0,4032,181,426,724,750,498,63.0,58.0,15.0,,,,,,,,,,,
2025-01-24,2,EGMORE,6835,1007,0.0,0.0,11.0,0.0,1612.0,2606,129,178,434,360,380,71.0,35.0,1.0,,,,,,,,,,,
2025-01-24,2,NEHRU PARK,2889,743,0.0,0.0,4.0,0.0,1125.0,526,41,52,153,121,91,12.0,16.0,1.0,,,,,,,,,,,
2025-01-24,2,KILPAUK,2771,576,0.0,0.0,2.0,0.0,1140.0,520,41,55,160,123,105,19.0,21.0,2.0,,,,,,,,,,,
2025-01-24,2,PACHAIAPPA S COLLEGE,3245,859,0.0,0.0,2.0,28.0,1342.0,495,41,65,132,138,95,18.0,14.0,4.0,,,,,,,,,,,
2025-01-24,2,SHENOY NAGAR,3159,596,0.0,0.0,3.0,0.0,1472.0,548,36,83,143,106,121,26.0,15.0,1.0,,,,,,,,,,,
2025-01-24,2,ANNA NAGAR EAST,6643,1735,0.0,0.0,11.0,0.0,2513.0,1050,112,144,416,318,233,49.0,49.0,2.0,,,,,,,,,,,
2025-01-24,2,ANNA NAGAR TOWER,6403,1717,0.0,0.0,12.0,100.0,2315.0,1095,68,129,391,260,197,56.0,51.0,1.0,,,,,,,,,,,
2025-01-24,2,THIRUMANGALAM,17139,5146,0.0,0.0,16.0,0.0,5629.0,2731,289,475,1127,821,612,121.0,135.0,4.0,,,,,,,,,,,
2025-01-24,2,KOYAMBEDU,13993,3509,0.0,0.0,18.0,126.0,4191.0,3269,193,437,701,750,534,125.0,120.0,8.0,,,,,,,,,,,
2025-01-24,2,CMBT,6365,762,0.0,0.0,7.0,0.0,1862.0,2140,92,185,433,463,322,44.0,40.0,9.0,,,,,,,,,,,
2025-01-24,2,ARUMBAKKAM,4468,933,0.0,0.0,2.0,0.0,1585.0,809,61,131,329,258,253,77.0,19.0,4.0,,,,,,,,,,,
2025-01-24,2,VADAPALANI,12251,2330,0.0,0.0,30.0,0.0,3844.0,2637,205,532,999,757,582,190.0,125.0,6.0,,,,,,,,,,,
2025-01-24,2,ASHOK NAGAR,9087,2169,0.0,0.0,2.0,0.0,3108.0,1692,141,292,627,419,423,107.0,76.0,7.0,,,,,,,,,,,
2025-01-24,2,EKKATTUTHANGAL,8498,2193,0.0,0.0,2.0,0.0,3078.0,1021,151,279,675,539,379,89.0,56.0,10.0,,,,,,,,,,,
2025-01-24,2,ALANDUR,6152,1679,0.0,0.0,8.0,0.0,1736.0,1080,136,303,517,314,250,63.0,45.0,0.0,,,,,,,,,,,
2025-01-24,2,St. THOMAS MOUNT,6906,1943,0.0,0.0,6.0,0.0,2286.0,1090,160,216,472,340,239,77.0,52.0,4.0,,,,,,,,,,,
2025-01-25,2,CENTRAL  METRO,12059,1602,110.0,0.0,0.0,102.0,2053.0,4930,237,570,797,794,618,91.0,49.0,12.0,,,,,,,,,,,
2025-01-25,2,EGMORE,6281,756,0.0,0.0,4.0,22.0,1171.0,2623,127,237,386,375,392,49.0,35.0,2.0,,,,,,,,,,,
2025-01-25,2,NEHRU PARK,2764,604,0.0,0.0,1.0,0.0,889.0,596,46,90,204,142,125,12.0,18.0,0.0,,,,,,,,,,,
2025-01-25,2,KILPAUK,2669,447,0.0,0.0,0.0,0.0,885.0,686,49,44,200,112,127,24.0,22.0,1.0,,,,,,,,,,,
2025-01-25,2,PACHAIAPPA S COLLEGE,3520,779,0.0,0.0,4.0,0.0,1162.0,948,46,76,190,128,106,11.0,30.0,1.0,,,,,,,,,,,
2025-01-25,2,SHENOY NAGAR,2828,419,0.0,0.0,2.0,0.0,1123.0,658,44,83,167,129,102,42.0,20.0,2.0,,,,,,,,,,,
2025-01-25,2,ANNA NAGAR EAST,6043,1303,0.0,0.0,2.0,0.0,1947.0,1315,101,176,482,323,244,45.0,56.0,3.0,,,,,,,,,,,
2025-01-25,2,ANNA NAGAR TOWER,6095,1271,0.0,0.0,13.0,66.0,1793.0,1341,112,178,539,337,247,57.0,50.0,5.0,,,,,,,,,,,
2025-01-25,2,THIRUMANGALAM,14533,3411,0.0,0.0,19.0,0.0,3835.0,3310,302,487,1235,852,668,164.0,113.0,6.0,,,,,,,,,,,
2025-01-25,2,KOYAMBEDU,13334,2522,0.0,0.0,6.0,21.0,2933.0,4195,233,502,882,942,675,126.0,82.0,9.0,,,,,,,,,,,
2025-01-25,2,CMBT,6394,598,0.0,0.0,5.0,0.0,1415.0,2516,124,229,409,514,371,52.0,46.0,2.0,,,,,,,,,,,
2025-01-25,2,ARUMBAKKAM,4266,755,0.0,0.0,2.0,0.0,1213.0,1007,66,126,388,290,250,70.0,26.0,1.0,,,,,,,,,,,
2025-01-25,2,VADAPALANI,13797,2000,0.0,0.0,28.0,0.0,3116.0,3437,454,783,1538,1015,808,250.0,187.0,14.0,,,,,,,,,,,
2025-01-25,2,ASHOK NAGAR,8408,1642,0.0,0.0,2.0,0.0,2232.0,2067,199,341,698,535,413,108.0,153.0,6.0,,,,,,,,,,,
2025-01-25,2,EKKATTUTHANGAL,5491,988,0.0,0.0,5.0,0.0,1620.0,1089,103,215,535,497,314,88.0,31.0,0.0,,,,,,,,,,,
2025-01-25,2,ALANDUR,5054,1026,0.0,0.0,3.0,0.0,1034.0,1430,104,265,462,272,173,63.0,55.0,4.0,,,,,,,,,,,
2025-01-25,2,St. THOMAS MOUNT,6440,1418,0.0,0.0,3.0,0.0,1632.0,1421,183,220,644,429,299,63.0,53.0,3.0,,,,,,,,,,,
2025-01-26,2,CENTRAL  METRO,9821,885,0.0,0.0,21.0,129.0,997.0,4602,239,546,842,818,566,80.0,77.0,11.0,,,,,,,,,,,
2025-01-26,2,EGMORE,5606,538,0.0,0.0,5.0,35.0,701.0,2621,127,206,533,339,376,79.0,41.0,0.0,,,,,,,,,,,
2025-01-26,2,NEHRU PARK,1588,293,0.0,0.0,0.0,0.0,360.0,458,34,40,158,122,78,21.0,22.0,2.0,,,,,,,,,,,
2025-01-26,2,KILPAUK,1516,180,0.0,0.0,1.0,0.0,372.0,497,39,49,167,89,91,11.0,19.0,0.0,,,,,,,,,,,
2025-01-26,2,PACHAIAPPA S COLLEGE,1572,274,0.0,0.0,1.0,27.0,389.0,523,30,53,134,54,64,11.0,10.0,0.0,,,,,,,,,,,
2025-01-26,2,SHENOY NAGAR,1730,207,0.0,0.0,0.0,0.0,415.0,641,33,57,149,99,84,20.0,21.0,2.0,,,,,,,,,,,
2025-01-26,2,ANNA NAGAR EAST,3750,572,0.0,0.0,13.0,0.0,840.0,1104,99,106,422,259,227,61.0,40.0,5.0,,,,,,,,,,,
2025-01-26,2,ANNA NAGAR TOWER,4059,647,0.0,0.0,17.0,0.0,949.0,1127,91,132,443,308,220,82.0,38.0,4.0,,,,,,,,,,,
2025-01-26,2,THIRUMANGALAM,9645,1565,0.0,0.0,15.0,0.0,1844.0,3046,281,399,936,776,572,126.0,69.0,5.0,,,,,,,,,,,
2025-01-26,2,KOYAMBEDU,8430,1104,0.0,0.0,2.0,0.0,1148.0,3463,211,405,701,720,492,95.0,71.0,11.0,,,,,,,,,,,
2025-01-26,2,CMBT,5299,381,0.0,0.0,10.0,0.0,723.0,2500,93,185,489,481,365,31.0,38.0,1.0,,,,,,,,,,,
2025-01-26,2,ARUMBAKKAM,2669,343,0.0,0.0,8.0,0.0,528.0,952,53,99,256,208,165,33.0,17.0,0.0,,,,,,,,,,,
2025-01-26,2,VADAPALANI,11336,1326,0.0,0.0,7.0,0.0,1743.0,3789,337,665,1388,949,735,216.0,162.0,8.0,,,,,,,,,,,
2025-01-26,2,ASHOK NAGAR,5027,694,0.0,0.0,6.0,0.0,965.0,1637,133,265,496,373,318,68.0,60.0,6.0,,,,,,,,,,,
2025-01-26,2,EKKATTUTHANGAL,2801,330,0.0,0.0,0.0,0.0,527.0,726,90,141,360,294,245,70.0,14.0,0.0,,,,,,,,,,,
2025-01-26,2,ALANDUR,3662,600,0.0,0.0,20.0,24.0,512.0,1260,112,229,456,220,129,55.0,36.0,4.0,,,,,,,,,,,
2025-01-26,2,St. THOMAS MOUNT,4407,620,0.0,0.0,2.0,28.0,636.0,1409,143,221,556,374,287,80.0,38.0,7.0,,,,,,,,,,,
2025-01-27,2,CENTRAL  METRO,12295,2184,0.0,0.0,11.0,23.0,2898.0,3954,230,477,803,865,656,91.0,57.0,16.0,,,,,,,,,,,
2025-01-27,2,EGMORE,7129,1037,0.0,0.0,3.0,23.0,1876.0,2404,133,190,528,398,410,58.0,49.0,6.0,,,,,,,,,,,
2025-01-27,2,NEHRU PARK,2955,712,0.0,0.0,4.0,0.0,1118.0,572,32,63,173,137,107,13.0,20.0,0.0,,,,,,,,,,,
2025-01-27,2,KILPAUK,2751,483,0.0,0.0,1.0,0.0,1130.0,590,41,50,181,114,112,17.0,25.0,0.0,,,,,,,,,,,
2025-01-27,2,PACHAIAPPA S COLLEGE,3275,851,0.0,0.0,3.0,0.0,1383.0,516,49,39,147,149,94,13.0,15.0,3.0,,,,,,,,,,,
