Date,totalTickets,noOfSVC,noOfNCMCcard,noOfMobileQR,noOfStaticQR,noOfPaperQR,noOfPaytmQR,noOfWhatsAppQR,noOfPhonePeQR,totalQrCount,noOfPromotionalRideQR,noOfTripcard,noOfTouristCard,noOfToken,noOfGroupCard,noOfTotal_QR,noOfCards,totalCards,noOfRedBusQR,noOfRapidoQR,noOfJusPayQR,noOfONDCQR
2025-01-19,168923,27673,28959,4186,7770,60995,11362,15053,9528,0,0,0,230,34,294,111733,28231,0,1559,1177,103,2839
2025-01-20,336500,98937,106088,4951,9494,62551,15477,21684,12387,0,0,0,254,138,83,131000,99412,0,2500,1785,171,4456
2025-01-21,331290,98976,110079,4550,8735,57359,14932,20523,11223,0,0,0,346,78,352,121459,99752,0,2276,1715,146,4137
2025-01-22,330876,96516,114832,4223,8432,56927,14133,20336,10743,0,0,0,314,11,163,119040,97004,0,2344,1744,158,4246
2025-01-23,329759,93099,116588,4207,8439,57680,13964,20498,10710,0,0,0,353,0,114,119605,93566,0,2300,1668,139,4107
2025-01-24,338624,90401,118314,5026,9703,61154,15390,20293,12118,0,0,0,391,722,389,128407,91903,0,2572,1972,179,4723
2025-01-25,290864,62241,84560,5690,10792,71676,15845,21605,12639,0,0,0,290,259,359,143155,63149,0,2615,2131,162,4908
2025-01-26,186739,26947,35482,4604,8422,66433,12802,17386,10327,0,0,0,270,0,402,123638,27619,0,2020,1508,136,3664
2025-01-27,337077,88543,121296,4882,9027,61186,14723,20883,11890,0,0,0,243,1,117,126877,88904,0,2263,1851,172,4286
2025-01-28,332004,87296,126798,4465,8452,56752,13695,19219,10690,0,0,0,251,0,297,117362,87844,0,2221,1733,135,4089
2025-01-29,326129,83241,125406,4455,8136,56147,13692,20124,10262,0,0,0,275,0,295,116912,83811,0,2247,1744,105,4096
2025-01-30,331694,81736,125766,4633,8539,59814,14431,21047,10761,0,0,0,236,160,273,123523,82405,0,2310,1844,144,4298
2025-01-31,348990,79364,125926,5413,9905,70499,16466,23665,12345,0,0,0,286,4,346,143064,80000,0,2506,2041,224,4771
2025-02-01,288997,53963,84309,5719,10634,76944,16370,23013,12810,0,0,0,55,249,215,150206,54482,0,2369,2156,191,4716
2025-02-02,178568,0,36901,4830,9134,80943,13073,18836,10910,0,0,0,0,0,0,141667,0,0,1895,1816,230,3941
2025-02-03,345929,75511,128928,5050,9360,70815,16006,23136,12479,0,0,0,50,0,0,141440,75561,0,2286,2118,190,4594
2025-02-04,338002,75521,136210,4507,8721,61202,13936,21656,11486,0,0,0,61,0,287,125923,75869,0,2309,1948,158,4415
2025-02-05,328910,60604,137764,4871,9321,62024,14823,22376,12144,0,0,0,41,375,218,129908,61238,0,2209,1950,190,4349
2025-02-06,346922,71962,139502,5123,9774,63127,16227,23574,12448,0,0,0,48,0,196,135214,72206,0,2491,2270,180,4941
2025-02-07,355013,70562,140481,5574,10658,66954,16976,25022,13498,0,0,0,33,0,103,143834,70698,0,2600,2359,193,5152
2025-02-08,275300,41874,82883,5990,11887,73113,17032,23802,13442,0,0,0,25,2,142,150374,42043,0,2373,2519,216,5108
2025-02-09,190412,22272,39932,4672,8702,68301,12730,18825,10919,0,0,0,21,0,205,127982,22498,0,1902,1743,188,3833
2025-02-10,344703,65800,136743,5361,10046,70655,15867,22910,12434,0,0,0,27,0,192,141941,66019,0,2378,2111,179,4668
2025-02-11,293991,48978,105985,5093,9712,68684,15168,22351,12673,0,0,0,30,0,429,138569,49437,0,2369,2355,164,4888
2025-02-12,338418,65540,146486,4669,8964,60334,14090,21619,11734,0,0,0,21,2,352,126017,65915,0,2278,2148,181,4607
2025-02-13,335080,63580,147125,4543,8817,59491,14325,21420,11387,0,0,0,26,0,107,124242,63713,0,2227,1871,161,4259
2025-02-14,349034,61894,148479,5382,10970,65286,16893,21804,13044,0,0,0,19,0,79,138563,61992,0,2557,2452,175,5184
2025-02-15,294102,42839,97842,5959,11605,74517,17379,24974,13529,0,0,0,13,25,135,153248,43012,0,2636,2449,200,5285
2025-02-16,185467,20132,39919,4472,8586,68012,12254,17943,10415,0,0,0,4,0,193,125219,20329,0,1752,1607,178,3537
2025-02-17,344227,60307,149814,5072,9634,65221,14939,22080,12393,0,0,0,12,12,187,133895,60518,0,2246,2120,190,4556
2025-02-18,308415,59131,125047,4281,8825,59198,14268,21413,11582,0,0,0,13,0,270,123954,59414,0,2133,2080,174,4387
2025-02-19,333007,57576,153098,4431,8606,58992,13709,20710,11508,0,0,0,6,0,184,122143,57766,0,2067,1960,160,4187
2025-02-20,329371,55370,152862,3964,8902,57987,13827,20228,11700,0,0,0,8,0,282,120849,55660,0,2090,2021,130,4241
2025-02-21,340125,54492,151751,3867,10095,61929,15672,24272,12976,0,0,0,0,0,238,133644,54730,0,2244,2433,156,4833
2025-02-22,282125,36245,95629,5264,11372,72463,17105,24668,13849,0,0,0,0,1,376,149874,36622,0,2394,2540,219,5153
2025-02-23,184121,18619,41249,4594,8865,64699,12695,18828,10479,0,0,0,0,0,200,124053,18819,0,1931,1806,156,3893
2025-02-24,337251,53474,155394,4756,9304,59822,15017,22552,12136,0,0,0,0,0,253,128130,53727,0,2165,2196,182,4543
2025-02-25,335943,52623,159497,4302,8861,57208,14617,22060,12172,0,0,0,0,0,188,123635,52811,0,2112,2092,211,4415
2025-02-26,318727,48752,150980,4305,8664,56015,13706,20228,11754,0,0,0,0,0,22,118973,48774,0,2061,2059,181,4301
2025-02-27,312973,47720,147678,4121,8399,55242,13641,20489,11033,0,0,0,0,0,388,117187,48108,0,2150,1961,151,4262
2025-02-28,333677,48782,154158,4672,9163,61514,15206,22586,12631,0,0,0,0,85,154,130498,49021,0,2297,2244,185,4726
2025-02-28,334460,48995,154463,4732,9169,61681,15214,22598,12635,0,0,0,0,83,154,130765,49232,0,2318,2238,180,4736
2025-03-01,285843,34884,103771,5945,11109,73661,16116,21711,13691,0,0,0,0,0,0,147188,34884,0,2233,2528,194,4955
2025-03-02,186395,17211,41743,4637,8616,69016,12461,18303,10697,0,0,0,0,0,0,127441,17211,0,1779,1749,183,3711
2025-03-03,335882,46895,155941,4706,9778,62627,15652,22803,12808,0,0,0,0,131,0,132915,47026,0,2115,2244,182,4541
2025-03-04,329327,46002,163558,4001,8739,53913,14092,21381,11667,0,0,0,0,1688,0,118079,47690,0,2052,2080,154,4286
2025-03-05,327858,45198,164603,3778,8433,55242,13878,20897,11588,0,0,0,0,10,0,118047,45208,0,1970,2106,155,4231
2025-03-06,334038,44842,165512,4169,9138,58378,14248,21342,11872,0,0,0,0,53,23,123608,44918,0,2142,2145,174,4461
2025-03-07,344225,43363,163733,4767,10274,63326,16155,24132,13456,0,0,0,0,46,0,137083,43409,0,2372,2408,193,4973
2025-03-08,263942,27947,92193,6489,12239,77181,17248,10128,14595,0,0,0,0,97,0,143705,28044,0,2479,3131,215,5825
2025-03-09,207814,17277,45142,5273,10175,82107,13487,18022,11494,0,0,0,0,289,74,145032,17640,0,2003,2325,146,4474
2025-03-10,343713,42309,165782,4849,10127,65829,15520,21784,12934,0,0,0,0,0,0,135622,42309,0,2243,2184,152,4579
2025-03-11,329610,41061,168344,4811,9395,63520,14985,9811,12469,0,0,0,0,0,0,120205,41061,0,2213,2811,190,5214
2025-03-12,337403,40535,170382,4605,8837,63426,14326,18883,11346,0,0,0,0,0,0,126486,40535,0,2073,2816,174,5063
2025-03-13,331857,39537,170441,4747,10038,59283,14980,15239,12187,0,0,0,0,0,0,121879,39537,0,2158,3061,186,5405
2025-03-14,328896,36317,161751,4962,9876,60435,16071,21277,12254,0,0,0,0,197,0,130631,36514,0,2361,3212,183,5756
2025-03-15,276086,27958,109342,5184,10377,66788,15658,22158,12485,0,0,0,0,0,0,138786,27958,0,2241,3718,177,6136
2025-03-16,176949,14633,44327,4964,10273,66701,13830,5317,11085,0,0,0,0,88,0,117901,14721,0,2093,3426,212,5731
2025-03-17,334956,36787,172052,4503,8988,60466,14270,20123,11822,0,0,0,0,86,0,126031,36873,0,2164,3532,163,5859
2025-03-18,329882,36184,175298,4207,8251,56205,13828,19176,10918,0,0,0,0,0,21,118379,36205,0,2096,3558,140,5794
2025-03-19,331784,35366,176554,4305,8305,58231,13531,18695,10998,0,0,0,0,0,27,119837,35393,0,2037,3602,133,5772
2025-03-20,328212,33771,176240,4258,8432,55143,13990,19516,11054,0,0,0,0,0,0,118201,33771,0,1943,3669,196,5808
2025-03-21,333236,33287,173651,4500,8909,52072,14488,20710,11522,0,0,0,0,6733,0,119565,40020,0,2151,4985,228,7364
2025-03-22,264628,22949,105529,5055,9463,65417,14338,21472,11725,0,0,0,0,1,0,136149,22950,0,2170,6336,173,8679
